Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742994759.895464,1742994760.224768,138,419.07,"3,872,045.520036548",30976364.16,9239.71,329.304
1742994760.224768,1742994760.556119,160,482.87,"4,541,407.179085716",36331257.43,9405.00,331.351
1742994760.556119,1742994760.905596,154,440.66,"4,151,757.57274359",33214060.58,9421.71,349.477
1742994760.905596,1742994761.247286,154,450.70,"4,246,374.5806278745",33970996.65,9421.71,341.690
1742994761.247286,1742994761.565064,140,440.56,"4,150,823.9429736272",33206591.54,9421.71,317.778
1742994761.565064,1742994761.898484,154,461.88,"4,351,700.058976091",34813600.47,9421.71,333.420
1742994761.898484,1742994762.230909,121,363.99,"3,443,584.554122092",27548676.43,9460.61,332.425
1742994762.230909,1742994762.554655,172,531.28,"5,019,935.909294501",40159487.27,9448.74,323.746
1742994762.554655,1742994762.903916,155,443.79,"4,177,869.2902234",33422954.32,9413.97,349.261
1742994762.903916,1742994763.242069,154,455.41,"4,290,789.874884105",34326319.00,9421.71,338.153
1742994763.242069,1742994763.567212,141,433.66,"4,082,085.7178615713",32656685.74,9413.21,325.143
1742994763.567212,1742994763.902731,154,458.99,"4,324,478.50940688",34595828.08,9421.71,335.519
1742994763.902731,1742994764.240602,154,455.80,"4,294,371.755229922",34354974.04,9421.71,337.871
1742994764.240602,1742994764.557565,141,444.85,"4,195,588.061719267",33564704.49,9431.53,316.963
1742994764.557565,1742994764.896438,154,454.45,"4,274,050.711049323",34192405.69,9404.94,338.873
1742994764.896438,1742994765.210696,139,442.31,"4,183,484.8675253815",33467878.94,9458.23,314.258
1742994765.210696,1742994765.58077,141,381.00,"3,605,024.6123116626",28840196.90,9461.89,370.074
1742994765.58077,1742994765.895838,166,526.87,"4,967,537.0638528755",39740296.51,9428.39,315.068
1742994765.895838,1742994766.209981,142,452.02,"4,251,198.482052745",34009587.86,9404.82,314.143
1742994766.209981,1742994766.530586,132,411.72,"3,888,909.549172873",31111276.39,9445.48,320.605
1742994766.530586,1742994766.864869,161,481.63,"4,528,095.9132035505",36224767.31,9401.65,334.283
1742994766.864869,1742994767.208079,154,448.70,"4,231,333.808774687",33850670.47,9430.10,343.210
1742994767.208079,1742994767.522367,141,448.63,"4,223,076.981630518",33784615.85,9413.21,314.288
1742994767.522367,1742994767.838461,136,430.25,"4,064,804.5152112623",32518436.12,9447.50,316.094
1742994767.838461,1742994768.17568,157,465.57,"4,391,146.408129531",35129171.27,9431.71,337.219
1742994768.17568,1742994768.519058,155,451.40,"4,234,393.922223642",33875151.38,9380.63,343.378
1742994768.519058,1742994768.853314,154,460.72,"4,360,143.987868508",34881151.90,9463.66,334.256
1742994768.853314,1742994769.168862,138,437.33,"4,136,230.4598169257",33089843.68,9457.83,315.548
1742994769.168862,1742994769.487229,142,446.03,"4,192,004.766756932",33536038.13,9398.56,318.367
1742994769.487229,1742994769.830404,154,448.75,"4,228,001.099762398",33824008.80,9421.71,343.175
1742994769.830404,1742994770.147659,154,485.41,"4,597,865.777975507",36782926.22,9472.05,317.255
1742994770.147659,1742994770.481262,141,422.66,"3,955,331.2610346247",31642650.09,9358.23,333.603
1742994770.481262,1742994770.799739,141,442.73,"4,167,529.6889314107",33340237.51,9413.21,318.477
1742994770.799739,1742994771.114723,139,441.29,"4,169,740.8540721303",33357926.83,9448.94,314.984
1742994771.114723,1742994771.473293,137,382.07,"3,621,757.6537123527",28974061.23,9479.23,358.570
1742994771.473293,1742994771.797906,170,523.70,"4,946,667.917671728",39573343.34,9445.60,324.613
1742994771.797906,1742994772.11797,153,478.03,"4,529,049.479937368",36232395.84,9474.42,320.064
1742994772.11797,1742994772.454011,141,419.59,"3,938,168.567877865",31505348.54,9385.72,336.041
1742994772.454011,1742994772.77097,140,441.70,"4,161,545.8346666186",33292366.68,9421.71,316.959
1742994772.77097,1742994773.109856,154,454.43,"4,281,513.32356074",34252106.59,9421.71,338.886
1742994773.109856,1742994773.455581,153,442.55,"4,176,769.835688612",33414158.69,9438.00,345.725
1742994773.455581,1742994773.796338,155,454.87,"4,278,337.45769322",34226699.66,9405.64,340.757
1742994773.796338,1742994774.111942,140,443.59,"4,179,415.087233964",33435320.70,9421.71,315.604
1742994774.111942,1742994774.456155,154,447.40,"4,215,250.332108269",33722002.66,9421.71,344.213
1742994774.456155,1742994774.794588,153,452.08,"4,270,582.016387564",34164656.13,9446.44,338.433
1742994774.794588,1742994775.110992,141,445.63,"4,186,668.1893761856",33493345.52,9394.88,316.404
1742994775.110992,1742994775.4515,154,452.27,"4,261,115.9429153185",34088927.54,9421.71,340.508
1742994775.4515,1742994775.795767,153,444.42,"4,198,210.8498941455",33585686.80,9446.44,344.267
