Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742970408.768495,1742970409.057213,39,135.08,"1,121,350.3025390368",8970802.42,8301.38,288.718
1742970409.057213,1742970409.3201,147,559.18,"5,302,803.084587005",42422424.68,9483.25,262.887
1742970409.3201,1742970409.566622,75,304.23,"2,894,468.426326031",23155747.41,9514.00,246.522
1742970409.566622,1742970409.819771,93,367.37,"3,461,052.1360728736",27688417.09,9421.10,253.149
1742970409.819771,1742970410.06736,58,234.26,"1,937,033.7380840722",15496269.90,8268.76,247.589
1742970410.06736,1742970410.34506,105,378.11,"3,568,733.6586813238",28549869.27,9438.46,277.700
1742970410.34506,1742970410.597779,97,383.83,"3,621,042.619883394",28968340.96,9434.08,252.719
1742970410.597779,1742970410.862298,85,321.34,"3,023,019.4122651024",24184155.30,9407.60,264.519
1742970410.862298,1742970411.113087,66,263.17,"2,294,614.8647960564",18356918.92,8719.15,250.789
1742970411.113087,1742970411.361082,109,439.52,"4,102,846.561892465",32822772.50,9334.73,247.995
1742970411.361082,1742970411.62003,98,378.45,"3,565,690.9396615066",28525527.52,9421.71,258.948
1742970411.62003,1742970411.890933,99,365.44,"3,438,683.2925852584",27509466.34,9409.60,270.903
1742970411.890933,1742970412.149446,86,332.67,"3,061,958.5098931827",24495668.08,9204.14,258.513
1742970412.149446,1742970412.404817,45,176.21,"1,515,261.5525812618",12122092.42,8598.98,255.371
1742970412.404817,1742970412.666334,155,592.70,"5,588,589.1350474665",44708713.08,9429.10,261.517
1742970412.666334,1742970412.928809,99,377.18,"3,549,099.728585703",28392797.83,9409.60,262.475
1742970412.928809,1742970413.184754,99,386.80,"3,639,649.6088069896",29117196.87,9409.60,255.945
1742970413.184754,1742970413.436936,46,182.41,"1,455,044.3332728264",11640354.67,7976.87,252.182
1742970413.436936,1742970413.693249,158,616.43,"5,813,000.1313346755",46504001.05,9430.05,256.313
1742970413.693249,1742970413.939612,98,397.79,"3,747,836.658416891",29982693.27,9421.71,246.363
1742970413.939612,1742970414.188271,98,394.11,"3,713,227.764760027",29705822.12,9421.71,248.659
1742970414.188271,1742970414.457992,59,218.74,"1,841,747.3706452446",14733978.97,8419.63,269.721
1742970414.457992,1742970414.737754,144,514.72,"4,861,274.425668161",38890195.41,9444.44,279.762
1742970414.737754,1742970415.001867,112,424.06,"3,995,381.530938733",31963052.25,9421.71,264.113
1742970415.001867,1742970415.25303,99,394.17,"3,708,945.8972105095",29671567.18,9409.60,251.163
1742970415.25303,1742970415.514425,72,275.45,"2,523,583.299623302",20188666.40,9161.83,261.395
1742970415.514425,1742970415.775702,103,394.22,"3,540,847.990115661",28326783.92,8981.96,261.277
1742970415.775702,1742970416.024573,98,393.78,"3,710,065.3487571385",29680522.79,9421.71,248.871
1742970416.024573,1742970416.289086,113,427.20,"4,020,422.197359408",32163377.58,9411.10,264.513
1742970416.289086,1742970416.556462,112,418.89,"3,946,622.781926353",31572982.26,9421.71,267.376
1742970416.556462,1742970416.813109,48,187.03,"1,498,011.6361947318",11984093.09,8009.58,256.647
1742970416.813109,1742970417.067078,144,567.00,"5,334,332.037040097",42674656.30,9408.03,253.969
1742970417.067078,1742970417.330337,112,425.44,"4,008,342.5997456955",32066740.80,9421.71,263.259
1742970417.330337,1742970417.583667,112,442.11,"4,165,444.4088643943",33323555.27,9421.71,253.330
1742970417.583667,1742970417.829995,65,263.88,"2,335,902.890502471",18687223.12,8852.28,246.328
1742970417.829995,1742970418.082777,123,486.59,"4,546,959.499511905",36375676.00,9344.63,252.782
