Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742970408.768495,1742970410.192902,464,325.75,"3,004,096.430337728",24032771.44,9222.10,1424.407
1742970410.192902,1742970411.62003,508,355.96,"3,314,422.0675998963",26515376.54,9311.23,1427.128
1742970411.62003,1742970413.074492,541,371.96,"3,464,482.277264519",27715858.22,9314.16,1454.462
1742970413.074492,1742970414.501331,523,366.54,"3,367,806.471959933",26942451.78,9187.99,1426.839
1742970414.501331,1742970415.956414,579,397.92,"3,704,263.1897834856",29634105.52,9309.17,1455.083
1742970415.956414,1742970417.388651,584,407.75,"3,793,037.2849468067",30344298.28,9302.27,1432.237
1742970417.388651,1742970418.814332,593,415.94,"3,887,111.882745404",31096895.06,9345.33,1425.681
1742970418.814332,1742970420.241817,533,373.38,"3,467,887.9550889833",27743103.64,9287.73,1427.485
1742970420.241817,1742970421.696557,634,435.82,"4,055,355.4638999267",32442843.71,9305.19,1454.740
1742970421.696557,1742970423.125501,570,398.90,"3,726,951.1438978547",29815609.15,9343.16,1428.944
1742970423.125501,1742970424.583848,620,425.14,"3,968,512.0715674055",31748096.57,9334.63,1458.347
1742970424.583848,1742970426.016011,572,399.40,"3,697,204.856992602",29577638.86,9256.99,1432.163
1742970426.016011,1742970427.460017,606,419.67,"3,928,230.30709507",31425842.46,9360.38,1444.006
1742970427.460017,1742970428.896604,537,373.80,"3,483,797.130373117",27870377.04,9319.88,1436.587
1742970428.896604,1742970430.32078,520,365.12,"3,379,745.25293571",27037962.02,9256.45,1424.176
1742970430.32078,1742970431.78512,506,345.55,"3,211,838.843029186",25694710.74,9294.91,1464.340
1742970431.78512,1742970433.230691,540,373.55,"3,484,851.4456148637",27878811.56,9328.89,1445.571
1742970433.230691,1742970434.658507,473,331.28,"3,077,557.2836058605",24620458.27,9290.03,1427.816
1742970434.658507,1742970436.122858,487,332.57,"3,052,586.5634861207",24420692.51,9178.76,1464.351
1742970436.122858,1742970437.558831,443,308.50,"2,859,512.123851157",22876096.99,9269.03,1435.973
1742970437.558831,1742970439.000585,386,267.73,"2,478,048.0896791965",19824384.72,9255.79,1441.754
1742970439.000585,1742970440.460273,360,246.63,"2,234,863.9679888934",17878911.74,9061.68,1459.688
1742970440.460273,1742970441.923464,348,237.84,"2,207,662.518735005",17661300.15,9282.28,1463.191
1742970441.923464,1742970443.35601,316,220.59,"2,031,923.7235604764",16255389.79,9211.47,1432.546
1742970443.35601,1742970444.816685,326,223.18,"2,063,511.7309726656",16508093.85,9245.77,1460.675
1742970444.816685,1742970446.260911,328,227.11,"2,059,281.5427480836",16474252.34,9067.28,1444.226
1742970446.260911,1742970447.714397,315,216.72,"2,002,604.8194697099",16020838.56,9240.50,1453.486
1742970447.714397,1742970449.146552,314,219.25,"2,025,788.920892561",16206311.37,9239.63,1432.155
1742970449.146552,1742970450.572987,350,245.37,"2,225,853.974366286",17806831.79,9071.53,1426.435
1742970450.572987,1742970452.013604,361,250.59,"2,312,916.17133036",18503329.37,9229.99,1440.617
1742970452.013604,1742970453.440023,344,241.16,"2,225,595.67431293",17804765.39,9228.58,1426.419
1742970453.440023,1742970454.88354,357,247.31,"2,284,915.2931879815",18279322.35,9238.97,1443.517
1742970454.88354,1742970456.309597,372,260.86,"2,416,870.964903549",19334967.72,9265.04,1426.057
1742970456.309597,1742970457.751816,417,289.14,"2,647,510.5028198385",21180084.02,9156.57,1442.219
1742970457.751816,1742970459.204704,436,300.09,"2,795,166.5693756365",22361332.56,9314.37,1452.888
1742970459.204704,1742970460.635478,503,351.56,"3,270,921.9532882385",26167375.63,9304.08,1430.774
1742970460.635478,1742970462.059688,457,320.88,"2,941,938.189918591",23535505.52,9168.35,1424.210
1742970462.059688,1742970463.501365,529,366.93,"3,419,466.701295935",27355733.61,9319.03,1441.677
1742970463.501365,1742970464.936628,553,385.30,"3,591,228.5320314355",28729828.26,9320.72,1435.263
1742970464.936628,1742970466.379627,554,383.92,"3,571,168.383849252",28569347.07,9301.79,1442.999
1742970466.379627,1742970467.803627,521,365.87,"3,381,116.5141597027",27048932.11,9241.29,1424.000
1742970467.803627,1742970469.231275,577,404.16,"3,766,915.756425779",30135326.05,9320.33,1427.648
1742970469.231275,1742970470.687744,581,398.91,"3,720,070.0237939144",29760560.19,9325.59,1456.469
1742970470.687744,1742970472.113742,549,384.99,"3,589,686.130632813",28717489.05,9324.02,1425.998
1742970472.113742,1742970473.53802,675,473.92,"4,390,038.289642833",35120306.32,9263.16,1424.278
1742970473.53802,1742970474.972712,576,401.48,"3,757,210.228733194",30057681.83,9358.40,1434.692
1742970474.972712,1742970476.419482,200,138.24,"1,295,559.115259518",10364472.92,9371.88,1446.770
1742970476.419482,1742970477.849924,165,115.35,"1,068,211.01361016",8545688.11,9260.69,1430.442
