Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742970408.768495,1742970409.736879,326,336.64,"3,143,067.1238115495",25144536.99,9336.49,968.384
1742970409.736879,1742970410.701955,317,328.47,"3,027,295.354706803",24218362.84,9216.31,965.076
1742970410.701955,1742970411.721668,349,342.25,"3,169,117.426000459",25352939.41,9259.57,1019.713
1742970411.721668,1742970412.71254,380,383.50,"3,556,463.734276416",28451709.87,9273.68,990.872
1742970412.71254,1742970413.693249,387,394.61,"3,650,275.181366619",29202201.45,9250.28,980.709
1742970413.693249,1742970414.665107,371,381.74,"3,539,206.255384582",28313650.04,9271.18,971.858
1742970414.665107,1742970415.63403,327,337.49,"3,108,331.327030447",24866650.62,9210.20,968.923
1742970415.63403,1742970416.608655,424,435.04,"4,101,647.8380497633",32813182.70,9428.23,974.625
1742970416.608655,1742970417.583667,402,412.30,"3,813,056.4096034304",30504451.28,9248.20,975.012
1742970417.583667,1742970418.564221,398,405.89,"3,776,792.005572926",30214336.04,9304.89,980.554
1742970418.564221,1742970419.538551,347,356.14,"3,314,915.2552301562",26519322.04,9307.84,974.330
1742970419.538551,1742970420.525319,403,408.40,"3,815,127.7425208483",30521021.94,9341.55,986.768
1742970420.525319,1742970421.487643,439,456.19,"4,223,823.166967398",33790585.34,9258.97,962.324
1742970421.487643,1742970422.471363,374,380.19,"3,533,895.5935163684",28271164.75,9295.09,983.720
1742970422.471363,1742970423.475757,435,433.10,"4,079,322.2088330784",32634577.67,9418.96,1004.394
1742970423.475757,1742970424.441761,433,448.24,"4,190,373.37499602",33522987.00,9348.54,966.004
1742970424.441761,1742970425.417909,407,416.95,"3,869,231.3309698626",30953850.65,9279.96,976.148
1742970425.417909,1742970426.396851,369,376.94,"3,495,538.505102678",27964308.04,9273.52,978.942
1742970426.396851,1742970427.398473,383,382.38,"3,566,944.5529285497",28535556.42,9328.28,1001.622
1742970427.398473,1742970428.378716,383,390.72,"3,622,826.2964992533",28982610.37,9272.19,980.243
