Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742994759.895464,1742994761.337164,648,449.47,"4,215,495.649017154",33723965.19,9378.83,1441.700
1742994761.337164,1742994762.789737,657,452.30,"4,268,779.427711922",34150235.42,9437.92,1452.573
1742994762.789737,1742994764.240602,646,445.25,"4,192,489.2205787357",33539913.76,9416.00,1450.865
1742994764.240602,1742994765.677093,644,448.31,"4,229,570.49283329",33836563.94,9434.38,1436.491
1742994765.677093,1742994767.114774,644,447.94,"4,223,092.723757315",33784741.79,9427.73,1437.681
1742994767.114774,1742994768.581398,659,449.33,"4,230,009.810917623",33840078.49,9414.01,1466.624
1742994768.581398,1742994770.018208,644,448.22,"4,229,530.647513664",33836245.18,9436.39,1436.810
1742994770.018208,1742994771.473293,628,431.59,"4,071,795.0089753205",32574360.07,9434.41,1455.085
1742994771.473293,1742994772.922124,674,465.20,"4,387,871.800796368",35102974.41,9432.17,1448.831
1742994772.922124,1742994774.360016,644,447.88,"4,219,776.702360173",33758213.62,9421.71,1437.892
1742994774.360016,1742994775.796494,644,448.32,"4,223,931.3266809685",33791450.61,9421.71,1436.478
1742994775.796494,1742994777.248953,658,453.02,"4,273,607.4380418435",34188859.50,9433.50,1452.459
1742994777.248953,1742994778.748383,477,318.12,"3,007,053.4649051963",24056427.72,9452.55,1499.430
1742994778.748383,1742994780.317457,203,129.38,"1,230,880.1905022098",9847041.52,9514.00,1569.074
1742994780.317457,1742994781.78142,30,20.49,"194,963.93953004948",1559711.52,9514.00,1463.963
1742994781.78142,1742994783.279868,130,86.76,"825,400.7390485137",6603205.91,9514.00,1498.448
1742994783.279868,1742994785.096254,94,51.75,"492,360.0436706764",3938880.35,9514.00,1816.386
1742994785.096254,1742994786.823413,39,22.58,"214,830.2768982041",1718642.22,9514.00,1727.159
1742994786.823413,1742994788.600825,82,46.13,"438,923.5150271489",3511388.12,9514.00,1777.412
1742994788.600825,1742994790.058384,117,80.27,"757,262.0375608188",6058096.30,9433.79,1457.559
1742994790.058384,1742994791.505593,16,11.06,"105,184.5223455878",841476.18,9514.00,1447.209
1742994791.505593,1742994792.978712,30,20.36,"193,752.1653277408",1550017.32,9514.00,1473.119
1742994792.978712,1742994794.424301,95,65.72,"625,233.1112661071",5001864.89,9514.00,1445.589
1742994794.424301,1742994796.085408,14,8.43,"80,185.07833920945",641480.63,9514.00,1661.107
1742994796.085408,1742994797.572658,109,73.29,"697,277.4836055075",5578219.87,9514.00,1487.250
1742994797.572658,1742994799.126893,42,27.02,"257,096.25941173817",2056770.08,9514.00,1554.235
1742994799.126893,1742994800.686097,127,81.45,"774,932.6618288856",6199461.29,9514.00,1559.204
1742994800.686097,1742994802.137573,91,62.69,"596,478.3035185018",4771826.43,9514.00,1451.476
1742994802.137573,1742994803.841397,81,47.54,"452,296.70460525615",3618373.64,9514.00,1703.824
1742994803.841397,1742994805.730769,54,28.58,"271,918.94175403175",2175351.53,9514.00,1889.372
1742994805.730769,1742994807.170438,72,50.01,"475,809.32636770274",3806474.61,9514.00,1439.669
1742994807.170438,1742994808.963436,64,35.69,"339,596.61713600036",2716772.94,9514.00,1792.998
1742994808.963436,1742994810.760587,63,35.06,"333,517.86823260586",2668142.95,9514.00,1797.151
1742994810.760587,1742994812.196793,305,212.37,"2,020,441.213283454",16163529.71,9514.00,1436.206
1742994812.196793,1742994813.633468,"1,018",708.58,"6,741,436.3887537215",53931491.11,9514.00,1436.675
1742994813.633468,1742994815.073331,"1,260",875.08,"8,325,540.8977312315",66604327.18,9514.00,1439.863
1742994815.073331,1742994816.51359,"1,320",916.50,"8,719,598.472329546",69756787.78,9514.00,1440.259
1742994816.51359,1742994817.950077,"1,322",920.30,"8,755,741.162280295",70045929.30,9514.00,1436.487
1742994817.950077,1742994819.388157,"1,266",880.34,"8,375,560.045667721",67004480.37,9514.00,1438.080
1742994819.388157,1742994820.831746,"1,166",807.71,"7,684,543.44160617",61476347.53,9514.00,1443.589
1742994820.831746,1742994822.507748,830,495.23,"4,711,582.088023875",37692656.70,9514.00,1676.002
1742994822.507748,1742994824.044702,122,79.38,"755,200.1398648218",6041601.12,9514.00,1536.954
1742994824.044702,1742994825.679127,61,37.32,"355,081.46698943514",2840651.74,9514.00,1634.425
1742994825.679127,1742994827.178083,156,104.07,"990,145.1641098082",7921161.31,9514.00,1498.956
1742994827.178083,1742994828.614156,"1,163",809.85,"7,704,887.913561393",61639103.31,9514.00,1436.073
1742994828.614156,1742994830.050157,"1,190",828.69,"7,884,158.512481685",63073268.10,9514.00,1436.001
1742994830.050157,1742994831.488948,"1,276",886.86,"8,437,544.918710656",67500359.35,9514.00,1438.791
