Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742995808.274866,1742995809.721133,327,226.10,"2,107,861.2958510458",16862890.37,9322.72,1446.267
1742995809.721133,1742995811.156949,323,224.96,"2,118,665.5497399727",16949324.40,9418.00,1435.816
1742995811.156949,1742995812.575313,322,227.02,"2,138,937.464093931",17111499.71,9421.71,1418.364
1742995812.575313,1742995813.967812,309,221.90,"2,089,847.1472001676",16718777.18,9417.83,1392.499
1742995813.967812,1742995815.363128,322,230.77,"2,174,268.9461444654",17394151.57,9421.71,1395.316
1742995815.363128,1742995816.779903,311,219.51,"2,065,644.8796932544",16525159.04,9410.14,1416.775
1742995816.779903,1742995818.181552,323,230.44,"2,172,154.3722989615",17377234.98,9426.00,1401.649
1742995818.181552,1742995819.646925,271,184.94,"1,741,845.8860919394",13934767.09,9418.65,1465.373
1742995819.646925,1742995821.059033,328,232.28,"2,207,709.412136469",17661675.30,9504.65,1412.108
1742995821.059033,1742995822.461826,353,251.64,"2,367,689.031674236",18941512.25,9409.00,1402.793
1742995822.461826,1742995823.898421,323,224.84,"2,117,516.821506407",16940134.57,9418.00,1436.595
1742995823.898421,1742995825.336117,324,225.36,"2,122,512.7163860705",16980101.73,9418.30,1437.696
1742995825.336117,1742995826.775379,324,225.12,"2,118,408.033886052",16947264.27,9410.32,1439.262
1742995826.775379,1742995828.223557,323,223.04,"2,100,580.100564051",16804640.80,9418.00,1448.178
1742995828.223557,1742995829.644925,323,227.25,"2,145,939.501929835",17167516.02,9443.25,1421.368
1742995829.644925,1742995831.047279,161,114.81,"1,086,745.7553000748",8693966.04,9465.85,1402.354
1742995831.047279,1742995832.456075,124,88.02,"837,407.2184343701",6699257.75,9514.00,1408.796
1742995832.456075,1742995833.947657,107,71.74,"682,495.4270417793",5459963.42,9514.00,1491.582
1742995833.947657,1742995835.396186,115,79.39,"755,324.8821287744",6042599.06,9514.00,1448.529
1742995835.396186,1742995836.983264,105,66.16,"629,439.8199705048",5035518.56,9514.00,1587.078
1742995836.983264,1742995838.378303,138,98.92,"941,143.5258997357",7529148.21,9514.00,1395.039
1742995838.378303,1742995839.796055,96,67.71,"644,219.8510575074",5153758.81,9514.00,1417.752
1742995839.796055,1742995841.532922,203,116.88,"1,111,968.8810363505",8895751.05,9514.00,1736.867
1742995841.532922,1742995842.961366,70,49.00,"466,227.6173028751",3729820.94,9514.00,1428.444
1742995842.961366,1742995844.447303,175,117.77,"1,120,471.3707177506",8963770.97,9514.00,1485.937
1742995844.447303,1742995845.900039,92,63.33,"602,510.0635775919",4820080.51,9514.00,1452.736
1742995845.900039,1742995847.422149,94,61.76,"587,550.182711297",4700401.46,9514.00,1522.110
1742995847.422149,1742995848.940603,146,96.15,"914,775.1143730949",7318200.91,9514.00,1518.454
1742995848.940603,1742995850.426383,70,47.11,"448,235.9432030454",3585887.55,9514.00,1485.780
1742995850.426383,1742995851.918208,131,87.81,"835,442.570341498",6683540.56,9514.00,1491.825
1742995851.918208,1742995853.45037,106,69.18,"658,209.690150278",5265677.52,9514.00,1532.162
1742995853.45037,1742995854.90207,87,59.93,"570,171.5339792878",4561372.27,9514.00,1451.700
1742995854.90207,1742995856.401923,186,124.01,"1,179,851.7074774923",9438813.66,9514.00,1499.853
1742995856.401923,1742995857.872993,96,65.26,"620,870.5012104312",4966964.01,9514.00,1471.070
1742995857.872993,1742995859.517459,69,41.96,"399,197.08319581754",3193576.67,9514.00,1644.466
1742995859.517459,1742995861.030086,112,74.04,"704,448.5600841559",5635588.48,9514.00,1512.627
1742995861.030086,1742995862.634694,79,49.23,"468,404.7271340852",3747237.82,9514.00,1604.608
1742995862.634694,1742995864.075214,125,86.77,"825,570.0421285877",6604560.34,9514.00,1440.520
1742995864.075214,1742995865.591487,93,61.33,"583,537.3889388038",4668299.11,9514.00,1516.273
1742995865.591487,1742995866.989294,382,273.29,"2,600,035.4016512167",20800283.21,9514.00,1397.807
1742995866.989294,1742995868.38165,"1,315",944.44,"8,985,425.228073323",71883401.82,9514.00,1392.356
1742995868.38165,1742995869.78018,"1,466",1048.24,"9,972,988.735376569",79783909.88,9514.00,1398.530
1742995869.78018,1742995871.196579,"1,228",866.99,"8,248,517.5313472515",65988140.25,9514.00,1416.399
1742995871.196579,1742995872.589029,"1,160",833.06,"7,925,770.586527301",63406164.69,9514.00,1392.450
1742995872.589029,1742995874.154502,883,564.05,"5,366,341.579725708",42930732.64,9514.00,1565.473
1742995874.154502,1742995875.678391,112,73.50,"699,242.500403182",5593940.00,9514.00,1523.889
1742995875.678391,1742995877.09662,69,48.65,"462,877.25909055147",3703018.07,9514.00,1418.229
1742995877.09662,1742995878.579694,48,32.37,"307,922.6090225117",2463380.87,9514.00,1483.074
1742995878.579694,1742995879.980774,125,89.22,"848,809.5545774692",6790476.44,9514.00,1401.080
1742995879.980774,1742995881.613294,71,43.49,"413,773.80760053074",3310190.46,9514.00,1632.520
1742995881.613294,1742995883.032034,76,53.57,"509,652.2143727039",4077217.71,9514.00,1418.740
1742995883.032034,1742995884.495818,132,90.18,"857,946.2664300589",6863570.13,9514.00,1463.784
1742995884.495818,1742995886.034231,66,42.90,"408,163.4648781912",3265307.72,9514.00,1538.413
1742995886.034231,1742995887.728946,80,47.21,"449,113.8566968902",3592910.85,9514.00,1694.715
1742995887.728946,1742995889.157427,53,37.10,"352,991.7191747487",2823933.75,9514.00,1428.481
1742995889.157427,1742995890.56482,101,71.76,"682,761.6838825594",5462093.47,9514.00,1407.393
