Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742970408.768495,1742970409.989051,379,310.51,"2,857,158.4923198754",22857267.94,9201.38,1220.556
1742970409.989051,1742970411.221064,401,325.48,"3,011,719.8753099455",24093759.00,9253.06,1232.013
1742970411.221064,1742970412.441279,465,381.08,"3,544,020.1552621047",28352161.24,9299.93,1220.215
1742970412.441279,1742970413.693249,514,410.55,"3,816,743.0519778267",30533944.42,9296.59,1251.970
1742970413.693249,1742970414.932084,469,378.58,"3,521,803.678973898",28174429.43,9302.63,1238.835
1742970414.932084,1742970416.152182,462,378.66,"3,513,560.332436665",28108482.66,9278.98,1220.098
1742970416.152182,1742970417.388651,509,411.66,"3,821,720.394983076",30573763.16,9283.77,1236.469
1742970417.388651,1742970418.62876,510,411.25,"3,837,226.5763934483",30697812.61,9330.55,1240.109
1742970418.62876,1742970419.848773,477,390.98,"3,663,261.2558671357",29306090.05,9369.45,1220.013
1742970419.848773,1742970421.070469,507,415.00,"3,871,302.1793244714",30970417.43,9328.51,1221.696
1742970421.070469,1742970422.2912,506,414.51,"3,852,950.341264467",30823602.73,9295.29,1220.731
1742970422.2912,1742970423.516005,488,398.43,"3,685,872.9104063394",29486983.28,9250.98,1224.805
1742970423.516005,1742970424.746588,538,437.19,"4,062,305.5843953597",32498444.68,9291.83,1230.583
1742970424.746588,1742970425.985758,482,388.97,"3,626,249.6106094983",29009996.88,9322.70,1239.170
1742970425.985758,1742970427.217539,508,412.41,"3,855,441.8175061317",30843534.54,9348.54,1231.781
1742970427.217539,1742970428.442755,465,379.52,"3,532,048.480673012",28256387.85,9306.50,1225.216
1742970428.442755,1742970429.694154,484,386.77,"3,604,985.9836867764",28839887.87,9320.82,1251.399
1742970429.694154,1742970430.916343,455,372.28,"3,468,519.3328245776",27748154.66,9316.89,1222.189
1742970430.916343,1742970432.15575,427,344.52,"3,199,909.150027412",25599273.20,9288.03,1239.407
1742970432.15575,1742970433.389629,439,355.79,"3,314,430.74568848",26515445.97,9315.73,1233.879
1742970433.389629,1742970434.612185,399,326.37,"3,021,559.466353808",24172475.73,9258.21,1222.556
1742970434.612185,1742970435.832779,416,340.82,"3,115,994.524247677",24927956.19,9142.70,1220.594
1742970435.832779,1742970437.084558,393,313.95,"2,903,549.0844230717",23228392.68,9248.35,1251.779
1742970437.084558,1742970438.339261,327,260.62,"2,405,246.4145102254",19241971.32,9228.96,1254.703
1742970438.339261,1742970439.608689,347,273.35,"2,522,302.9291797504",20178423.43,9227.33,1269.428
1742970439.608689,1742970440.846199,315,254.54,"2,346,513.6281921584",18772109.03,9218.52,1237.510
1742970440.846199,1742970442.094312,287,229.95,"2,129,318.560777388",17034548.49,9260.03,1248.113
1742970442.094312,1742970443.324182,273,221.97,"2,037,286.7336271037",16298293.87,9178.01,1229.870
1742970443.324182,1742970444.576287,275,219.63,"2,021,787.3139886463",16174298.51,9205.42,1252.105
1742970444.576287,1742970445.816084,274,221.00,"2,036,220.6479317164",16289765.18,9213.50,1239.797
1742970445.816084,1742970447.048274,264,214.25,"1,972,676.0802541708",15781408.64,9207.24,1232.190
1742970447.048274,1742970448.280229,285,231.34,"2,116,744.435594251",16933955.48,9149.94,1231.955
1742970448.280229,1742970449.519491,293,236.43,"2,143,012.7672654856",17144102.14,9064.01,1239.262
1742970449.519491,1742970450.741315,276,225.89,"2,079,373.2518076664",16634986.01,9205.17,1221.824
1742970450.741315,1742970451.96566,314,256.46,"2,362,693.121968128",18901544.98,9212.59,1224.345
