Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742995808.274866,1742995808.713056,66,150.62,"1,352,609.6499160456",10820877.20,8980.30,438.190
1742995808.713056,1742995809.159041,134,300.46,"2,826,266.4688088717",22610131.75,9406.51,445.985
1742995809.159041,1742995809.657884,113,226.52,"2,131,841.2741276463",17054730.19,9411.10,498.843
1742995809.657884,1742995810.0971,98,223.12,"2,102,217.8430164703",16817742.74,9421.71,439.216
1742995810.0971,1742995810.595351,113,226.79,"2,134,374.2061578627",17074993.65,9411.10,498.251
1742995810.595351,1742995811.095074,112,224.12,"2,111,634.0242692",16893072.19,9421.71,499.723
1742995811.095074,1742995811.532841,98,223.86,"2,109,176.6607295354",16873413.29,9421.71,437.767
1742995811.532841,1742995812.032558,111,222.13,"2,095,205.8984954425",16761647.19,9432.52,499.717
1742995812.032558,1742995812.506255,113,238.55,"2,245,009.1910355645",17960073.53,9411.10,473.697
1742995812.506255,1742995812.968966,99,213.96,"2,013,243.2708781292",16105946.17,9409.60,462.711
1742995812.968966,1742995813.470025,112,223.53,"2,106,003.2520686677",16848026.02,9421.71,501.059
1742995813.470025,1742995813.908761,98,223.37,"2,104,518.6174660036",16836148.94,9421.71,438.736
1742995813.908761,1742995814.405066,112,225.67,"2,126,176.491639821",17009411.93,9421.71,496.305
1742995814.405066,1742995814.851552,112,250.85,"2,363,415.67008028",18907325.36,9421.71,446.486
1742995814.851552,1742995815.344191,99,200.96,"1,890,938.1463675266",15127505.17,9409.60,492.639
1742995815.344191,1742995815.781226,100,228.81,"2,153,292.832386554",17226342.66,9410.64,437.035
1742995815.781226,1742995816.218953,97,221.60,"2,087,634.6518747685",16701077.21,9420.76,437.727
1742995816.218953,1742995816.657069,99,225.97,"2,126,263.006804557",17010104.05,9409.60,438.116
1742995816.657069,1742995817.094958,100,228.37,"2,149,092.091784999",17192736.73,9410.64,437.889
1742995817.094958,1742995817.532553,98,223.95,"2,110,006.3548402917",16880050.84,9421.71,437.595
1742995817.532553,1742995817.969677,98,224.19,"2,109,323.6030938714",16874588.82,9408.53,437.124
1742995817.969677,1742995818.464198,112,226.48,"2,133,846.0834144903",17070768.67,9421.71,494.521
1742995818.464198,1742995818.902908,98,223.38,"2,104,643.281695445",16837146.25,9421.71,438.710
1742995818.902908,1742995819.428258,79,150.38,"1,415,921.2043583845",11327369.63,9415.87,525.350
1742995819.428258,1742995819.869413,131,296.95,"2,825,161.501053321",22601292.01,9514.00,441.155
1742995819.869413,1742995820.338109,110,234.69,"2,226,329.5155632105",17810636.12,9486.11,468.696
1742995820.338109,1742995820.794531,80,175.28,"1,667,579.2337647888",13340633.87,9514.00,456.422
1742995820.794531,1742995821.274886,129,268.55,"2,534,322.620873814",20274580.97,9437.01,480.355
1742995821.274886,1742995821.712066,98,224.16,"2,112,008.5793770514",16896068.64,9421.71,437.180
1742995821.712066,1742995822.150352,99,225.88,"2,125,438.320191698",17003506.56,9409.60,438.286
1742995822.150352,1742995822.589817,99,225.27,"2,119,736.2762511866",16957890.21,9409.60,439.465
1742995822.589817,1742995823.08713,112,225.21,"2,121,866.816305045",16974934.53,9421.71,497.313
1742995823.08713,1742995823.524409,99,226.40,"2,130,333.333805868",17042666.67,9409.60,437.279
1742995823.524409,1742995823.966878,98,221.48,"2,086,763.698831101",16694109.59,9421.71,442.469
1742995823.966878,1742995824.460323,113,229.00,"2,155,161.4860303076",17241291.89,9411.10,493.445
1742995824.460323,1742995824.898139,99,226.12,"2,127,720.7844111063",17021766.28,9409.60,437.816
1742995824.898139,1742995825.336117,98,223.76,"2,111,110.4627348855",16888883.70,9434.90,437.978
1742995825.336117,1742995825.836154,113,225.98,"2,124,167.0033276007",16993336.03,9399.66,500.037
1742995825.836154,1742995826.334413,113,226.79,"2,134,339.481788645",17074715.85,9411.10,498.259
1742995826.334413,1742995826.775379,98,222.24,"2,093,876.2364322036",16751009.89,9421.71,440.966
1742995826.775379,1742995827.270896,112,226.03,"2,129,557.5471338066",17036460.38,9421.71,495.517
1742995827.270896,1742995827.708902,99,226.02,"2,126,797.7177445255",17014381.74,9409.60,438.006
1742995827.708902,1742995828.148232,100,227.62,"2,142,043.073829262",17136344.59,9410.64,439.330
1742995828.148232,1742995828.644569,111,223.64,"2,106,871.204114924",16854969.63,9420.88,496.337
1742995828.644569,1742995829.111176,84,180.02,"1,704,431.8668718692",13635454.93,9467.86,466.607
1742995829.111176,1742995829.581433,126,267.94,"2,533,542.060901409",20268336.49,9455.68,470.257
1742995829.581433,1742995830.022285,98,222.30,"2,094,417.5217620563",16755340.17,9421.71,440.852
1742995830.022285,1742995830.525123,40,79.55,"756,824.4214778657",6054595.37,9514.00,502.838
1742995830.525123,1742995831.047279,37,70.86,"674,162.5106432136",5393300.09,9514.00,522.156
1742995831.047279,1742995831.523544,35,73.49,"699,169.2980530146",5593354.38,9514.00,476.265
1742995831.523544,1742995832.021113,66,132.64,"1,261,984.1562927805",10095873.25,9514.00,497.569
1742995832.021113,1742995832.460455,24,54.63,"519,722.65022732527",4157781.20,9514.00,439.342
1742995832.460455,1742995832.898296,37,84.51,"803,985.5968382288",6431884.77,9514.00,437.841
1742995832.898296,1742995833.387135,33,67.51,"642,260.656627026",5138085.25,9514.00,488.839
1742995833.387135,1742995833.832255,32,71.89,"683,968.5866024485",5471748.69,9514.00,445.120
1742995833.832255,1742995834.372848,11,20.35,"193,591.05924110836",1548728.47,9514.00,540.593
1742995834.372848,1742995834.893105,53,101.87,"969,217.1440785",7753737.15,9514.00,520.257
1742995834.893105,1742995835.396186,55,109.33,"1,040,130.5423172162",8321044.34,9514.00,503.081
1742995835.396186,1742995835.918791,23,44.01,"418,713.98886478064",3349711.91,9514.00,522.605
1742995835.918791,1742995836.374906,40,87.70,"834,350.9725077559",6674807.78,9514.00,456.115
1742995836.374906,1742995836.983264,42,69.04,"656,830.4543011195",5254643.63,9514.00,608.358
1742995836.983264,1742995837.452887,5,10.65,"101,293.99752861034",810351.98,9514.00,469.623
1742995837.452887,1742995837.976257,32,61.14,"581,706.9835461716",4653655.87,9514.00,523.370
1742995837.976257,1742995838.466049,103,210.29,"2,000,731.4530670738",16005851.62,9514.00,489.792
1742995838.466049,1742995839.000108,70,131.07,"1,247,015.6677794612",9976125.34,9514.00,534.059
1742995839.000108,1742995839.54305,16,29.47,"280,368.7811760077",2242950.25,9514.00,542.942
1742995839.54305,1742995840.220844,72,106.23,"1,010,643.3821660756",8085147.06,9514.00,677.794
1742995840.220844,1742995840.660287,53,120.61,"1,147,457.453471408",9179659.63,9514.00,439.443
1742995840.660287,1742995841.108251,79,176.35,"1,677,826.0726361943",13422608.58,9514.00,447.964
1742995841.108251,1742995841.655042,11,20.12,"191,396.76944214437",1531174.16,9514.00,546.791
1742995841.655042,1742995842.237335,54,92.74,"882,298.0361345839",7058384.29,9514.00,582.293
1742995842.237335,1742995842.68255,8,17.97,"170,955.61078673875",1367644.89,9514.00,445.215
1742995842.68255,1742995843.182014,24,48.05,"457,162.04568037484",3657296.37,9514.00,499.464
1742995843.182014,1742995843.623972,35,79.19,"753,442.719050378",6027541.75,9514.00,441.958
1742995843.623972,1742995844.125601,80,159.48,"1,517,296.3022455007",12138370.42,9514.00,501.629
1742995844.125601,1742995844.645233,48,92.37,"878,837.5633463548",7030700.51,9514.00,519.632
1742995844.645233,1742995845.167552,9,17.23,"163,934.27606521008",1311474.21,9514.00,522.319
1742995845.167552,1742995845.733861,61,107.72,"1,024,800.9927351478",8198407.94,9514.00,566.309
1742995845.733861,1742995846.1957,63,136.41,"1,297,816.0161272588",10382528.13,9514.00,461.839
1742995846.1957,1742995846.979377,25,31.90,"303,505.10389476054",2428040.83,9514.00,783.677
1742995846.979377,1742995847.422149,20,45.17,"429,747.22426122165",3437977.79,9514.00,442.772
1742995847.422149,1742995847.859813,33,75.40,"717,358.4691844401",5738867.75,9514.00,437.664
1742995847.859813,1742995848.536832,50,73.85,"702,638.9454378467",5621111.56,9514.00,677.019
1742995848.536832,1742995849.028832,65,132.11,"1,256,931.240276081",10055449.92,9514.00,492.000
1742995849.028832,1742995849.693204,15,22.58,"214,804.36716287863",1718434.94,9514.00,664.372
1742995849.693204,1742995850.217337,32,61.05,"580,860.2380906243",4646881.90,9514.00,524.133
1742995850.217337,1742995850.662493,42,94.35,"897,635.6885213591",7181085.51,9514.00,445.156
1742995850.662493,1742995851.105632,47,106.06,"1,009,069.2154735131",8072553.72,9514.00,443.139
1742995851.105632,1742995851.579759,37,78.04,"742,455.3690537013",5939642.95,9514.00,474.127
1742995851.579759,1742995852.063891,40,82.62,"786,066.5263663839",6288532.21,9514.00,484.132
1742995852.063891,1742995852.502549,33,75.23,"715,732.9871746025",5725863.90,9514.00,438.658
1742995852.502549,1742995852.941423,44,100.26,"953,840.952114087",7630727.62,9514.00,438.874
1742995852.941423,1742995853.45037,15,29.47,"280,402.4042209625",2243219.23,9514.00,508.947
1742995853.45037,1742995854.102097,38,58.31,"554,729.2371791753",4437833.90,9514.00,651.727
1742995854.102097,1742995854.629986,36,68.20,"648,818.2011311908",5190545.61,9514.00,527.889
1742995854.629986,1742995855.115956,19,39.10,"371,969.4476020774",2975755.58,9514.00,485.970
1742995855.115956,1742995855.565262,99,220.34,"2,096,312.928207942",16770503.43,9514.00,449.306
1742995855.565262,1742995856.112866,51,93.13,"886,067.5539479201",7088540.43,9514.00,547.604
1742995856.112866,1742995856.576359,40,86.30,"821,069.3812187151",6568555.05,9514.00,463.493
1742995856.576359,1742995857.231561,32,48.84,"464,662.86874062085",3717302.95,9514.00,655.202
1742995857.231561,1742995857.716555,42,86.60,"823,902.6821439053",6591221.46,9514.00,484.994
1742995857.716555,1742995858.428548,41,57.58,"547,862.1439787832",4382897.15,9514.00,711.993
1742995858.428548,1742995858.95315,11,20.97,"199,492.2106656244",1595937.69,9514.00,524.602
1742995858.95315,1742995859.517459,29,51.39,"488,927.2682359035",3911418.15,9514.00,564.309
1742995859.517459,1742995860.014528,22,44.26,"421,084.29473264137",3368674.36,9514.00,497.069
1742995860.014528,1742995860.50541,47,95.75,"910,927.8258338886",7287422.61,9514.00,490.882
1742995860.50541,1742995861.030086,43,81.96,"779,722.9797037331",6237783.84,9514.00,524.676
